...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,recombinant_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,recombinant_95_CI,other_95_CI,X23A_95_CI
216,0.0754113541993162,0.0533955708263705,CO,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,NA,NA,CO,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,0.631631316151761,0.3448597150945365,CO,2023-05-07,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
219,0.906913562405886,0.635846091077615,CO,2023-05-08,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.595961024748276,0.3404055720997855,CO,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
221,2.68240278302705,0.66527219268737,CO,2023-05-10,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
222,0.333761843986978,0.077765256965981,CO,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
223,NA,NA,CO,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,0.648979831947602,0.0877947127935255,CO,2023-05-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
225,0.123856441836164,0.0931977831168715,CO,2023-05-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,0.95805763316668,0.17486889475473,CO,2023-05-15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
227,0.508038391827639,0.3238025071016875,CO,2023-05-16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
228,0.149262915754437,0.111024319731846,CO,2023-05-17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
229,1.0010258749067,0.4375768200106465,CO,2023-05-18,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
230,0.987275625801862,0.6973316230958,CO,2023-05-19,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
231,NA,NA,CO,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,0.196239993157288,0.1386961361727985,CO,2023-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,1.59943130255517,0.4708828474269095,CO,2023-05-22,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
234,0.599706759674486,0.1542263995858165,CO,2023-05-23,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
235,NA,NA,CO,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,CO,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,0.695438444345167,0.4856713476068685,CO,2023-05-26,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
238,NA,NA,CO,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,0.282946614590602,0.1978330256279295,CO,2023-05-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
240,0.285553066754566,0.207326325128594,CO,2023-05-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
241,0.304111946894563,0.217056990739234,CO,2023-05-30,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
242,0.802858324574392,0.2270142494692065,CO,2023-05-31,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
243,0.337435796454744,0.237186298317365,CO,2023-06-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,NA,NA,CO,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,0.920801125387481,0.650562916444045,CO,2023-06-06,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
249,0.422562458508422,0.30195617682938253,CO,2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
250,0.883946858181664,0.44369515156207,CO,2023-06-08,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
251,1.40068785928244,0.4336128136138015,CO,2023-06-09,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
252,0.643919648347921,0.4454751515120145,CO,2023-06-10,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
253,NA,NA,CT,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,CT,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,0.942413791595617,0.4135652206466145,CT,2023-05-02,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
256,1.50642687147835,0.52777423200243,CT,2023-05-03,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0
257,0.228874571991404,0.0500871093438825,CT,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
258,0.0736660732427974,0.0533955708263705,CT,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
259,0.0838274098142081,0.056905738773725,CT,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,NA,NA,CT,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,0.503101380115449,0.2499056696426345,CT,2023-05-08,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
262,1.84620031745893,0.4360510865490665,CT,2023-05-09,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
263,0.691530632211203,0.34083555309717,CT,2023-05-10,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
264,1.24266809505165,0.187564918889341,CT,2023-05-11,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
265,0.854559917533999,0.4199511112252755,CT,2023-05-12,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
266,NA,NA,CT,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,NA,NA,CT,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,CT,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,0.144557431254258,0.104808101049444,CT,2023-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,2.23383415255792,0.65309825209418,CT,2023-05-17,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
271,1.51874554575289,0.4527527797226285,CT,2023-05-18,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
272,0.174474327198339,0.124295378408785,CT,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,1.77854415433333,0.50574289203226,CT,2023-05-20,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
274,0.545438888140173,0.327727999022182,CT,2023-05-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
275,NA,NA,CT,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,NA,NA,CT,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,1.24024783985403,0.2910761855272335,CT,2023-05-24,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
278,NA,NA,CT,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,CT,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,NA,NA,CT,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,CT,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,NA,CT,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,1.1208457966421,0.53121439849453,CT,2023-05-30,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
284,1.02731260892373,0.348766045839391,CT,2023-05-31,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
285,0.931854788300637,0.65573798153444,CT,2023-06-01,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
286,NA,NA,CT,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,0.608076202528415,0.3558075606698155,CT,2023-06-03,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
288,NA,NA,CT,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,0.646457751570776,0.449262223356054,CT,2023-06-05,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
290,0.988449282066174,0.4714237265793905,CT,2023-06-06,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
291,1.01777590786205,0.3977958171244555,CT,2023-06-07,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
292,0.922994202927993,0.650282033200575,CT,2023-06-08,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
293,1.72135751950129,0.47389754671798,CT,2023-06-09,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
294,NA,NA,CT,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,DC,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,DC,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,DC,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,NA,DC,2023-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,0.874669823423844,0.399163670401344,DC,2023-05-04,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
300,0.0726599734305775,0.0533955708263705,DC,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301,0.0776894259727061,0.056905738773725,DC,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
302,NA,NA,DC,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,1.477470586875,0.67892926934595,DC,2023-05-08,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
304,1.47973542878338,0.439418030393774,DC,2023-05-09,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
305,0.101919825746565,0.073126158117945,DC,2023-05-10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
306,1.04432825362256,0.73656322850614,DC,2023-05-11,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
307,NA,NA,DC,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,NA,DC,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,0.131413673841476,0.0931977831168715,DC,2023-05-14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
310,0.139046396567328,0.09886729505853,DC,2023-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
311,NA,NA,DC,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,1.32883923229956,0.618589579313685,DC,2023-05-17,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
313,0.528201745060724,0.257858759851358,DC,2023-05-18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
314,NA,NA,DC,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,NA,DC,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,DC,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,DC,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,NA,NA,DC,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,0.225716898979541,0.1624103140260475,DC,2023-05-24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
320,0.240751219510853,0.170868594608111,DC,2023-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,0.577439929521636,0.4204028359587765,DC,2023-05-26,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
322,NA,NA,DC,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,0.269883014800094,0.1978330256279295,DC,2023-05-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,0.38351749513493,0.2960269162016835,DC,2023-05-29,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
325,0.781627186768455,0.217056990739234,DC,2023-05-30,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
326,1.0718594277748,0.50958871054508,DC,2023-05-31,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
327,1.83430222585097,0.65573798153444,DC,2023-06-01,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
328,0.473434251790995,0.3392114509826775,DC,2023-06-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
329,NA,NA,DC,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,0.829625603225577,0.580916615051655,DC,2023-06-04,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
331,0.66479405047031,0.2888595091829165,DC,2023-06-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
332,NA,NA,DC,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,DC,2023-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,DC,2023-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,NA,DC,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,1.31008834915418,0.4148531613016515,DC,2023-06-10,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1
337,NA,NA,DE,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,0.815930768675453,0.283250465246835,DE,2023-05-01,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
339,NA,NA,DE,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,0.212012969586274,0.04697206198858175,DE,2023-05-03,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
341,NA,NA,DE,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,0.0788114912963712,0.0533955708263705,DE,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
343,0.0816175597029836,0.056905738773725,DE,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344,NA,NA,DE,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,NA,DE,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,1.31607582420844,0.61842292894106,DE,2023-05-09,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0
347,0.102591152924555,0.073126158117945,DE,2023-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,0.330360653345809,0.077765256965981,DE,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,0.829128394065659,0.58673553054216,DE,2023-05-12,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
350,0.120991273444262,0.0877947127935255,DE,2023-05-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
351,NA,NA,DE,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,NA,DE,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,NA,NA,DE,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,1.80345087612657,0.54101654694811,DE,2023-05-17,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
355,0.163900464527107,0.1175192650438975,DE,2023-05-18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
356,NA,NA,DE,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,0.463252253554957,0.252180457809444,DE,2023-05-20,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
358,NA,NA,DE,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,0.204811484987518,0.1463207562508845,DE,2023-05-22,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
360,NA,NA,DE,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,NA,DE,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,NA,NA,DE,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,NA,NA,DE,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,NA,DE,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,NA,DE,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,NA,NA,DE,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,0.674018369743978,0.4666179097469295,DE,2023-05-30,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
368,0.75255943402082,0.393637670232451,DE,2023-05-31,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
369,0.331216170059968,0.237186298317365,DE,2023-06-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
370,NA,NA,DE,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,NA,DE,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,0.647796615835176,0.4511812082521395,DE,2023-06-04,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
373,NA,NA,DE,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,0.641429348989423,0.36926329014693,DE,2023-06-06,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
375,0.399811863508355,0.2867461722622875,DE,2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,0.438952698720747,0.3132301966743655,DE,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
377,NA,NA,DE,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,DE,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,3.09654630681549,0.340877742708132,FL,2023-04-30,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
380,3.40328072817304,0.2451335710966995,FL,2023-05-01,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
381,2.41074878148294,0.2200416189250535,FL,2023-05-02,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
382,2.35235935600778,0.1542941515797085,FL,2023-05-03,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0
383,4.21600610270012,0.128782887288036,FL,2023-05-04,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
384,5.65356584753449,0.0960958015893825,FL,2023-05-05,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
385,2.69151499999224,0.3158204752787525,FL,2023-05-06,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0
386,3.57704062150563,0.1380503262065235,FL,2023-05-07,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0
387,3.3136956218054,0.2221222266022755,FL,2023-05-08,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
388,2.91826226582436,0.280709644568046,FL,2023-05-09,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
389,5.37864050027194,0.3061109154889125,FL,2023-05-10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
390,5.29326160759742,0.303974838447017,FL,2023-05-11,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
391,0.95068438209287,0.2634814210954315,FL,2023-05-12,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
392,0.4804835814734,0.251385221086155,FL,2023-05-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
393,1.14617118302091,0.218800766932293,FL,2023-05-14,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
394,1.95577796738267,0.3393453719956,FL,2023-05-15,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
395,2.31740621050229,0.2191019867596,FL,2023-05-16,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
396,2.37355693496353,0.2871424281339165,FL,2023-05-17,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0
397,4.21840955722698,0.25881630040905,FL,2023-05-18,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
398,1.33026679822522,0.267653684444064,FL,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
399,1.17826200511005,0.277632226171433,FL,2023-05-20,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
400,1.6708590362098,0.3641923166950095,FL,2023-05-21,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
401,3.92613300786626,0.314642220372096,FL,2023-05-22,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0
402,2.51856800876818,0.311109541301814,FL,2023-05-23,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
403,4.31074446226619,0.2430878698663235,FL,2023-05-24,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
404,3.63172865704758,0.339817610184241,FL,2023-05-25,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0
405,2.32069263812336,0.343043688443725,FL,2023-05-26,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0
406,0.578093480036237,0.4083945370681905,FL,2023-05-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
407,1.82039932389473,0.410363746502782,FL,2023-05-28,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0
408,0.545833920501267,0.2664600525106535,FL,2023-05-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
409,4.4222402865318,0.363358128858405,FL,2023-05-30,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
410,6.69396511682055,0.3341435629575,FL,2023-05-31,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
411,4.99910417789309,0.4645457162982645,FL,2023-06-01,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0
412,1.9975928448924,0.3139602965850765,FL,2023-06-02,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
413,1.5853050034542,0.3774465059026255,FL,2023-06-03,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
414,1.72081634627843,0.4248878512707745,FL,2023-06-04,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0
415,3.44495022995161,0.3531691882563775,FL,2023-06-05,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
416,6.07114872656715,0.399385165473074,FL,2023-06-06,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
417,6.51020615333783,0.35637747105341,FL,2023-06-07,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0
418,5.06046259293672,0.4205294979158595,FL,2023-06-08,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
419,3.57813974084657,0.393315660201009,FL,2023-06-09,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
420,0.789190325996453,0.318250835002878,FL,2023-06-10,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
421,0.806164053804268,0.28356620656833,GA,2023-04-30,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
422,1.71600752805189,0.325841583439432,GA,2023-05-01,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
423,2.14828406266498,0.3530965300015785,GA,2023-05-02,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
424,1.46692145749936,0.327355610757189,GA,2023-05-03,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0
425,1.57152565194762,0.392619994534587,GA,2023-05-04,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0
426,0.539040222184787,0.207018886707187,GA,2023-05-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
427,0.0776385425686572,0.056905738773725,GA,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
428,0.595261217066369,0.1778476670383255,GA,2023-05-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
429,0.880547277764315,0.2949609689202355,GA,2023-05-08,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
430,2.29458603104882,0.343188354435918,GA,2023-05-09,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
431,0.618292551309314,0.181200286914887,GA,2023-05-10,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
432,0.745453842430262,0.1935060436906475,GA,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
433,1.67072681180719,0.525946745995825,GA,2023-05-12,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1
434,NA,NA,GA,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,NA,GA,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,0.801138646926895,0.562042432414875,GA,2023-05-15,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
437,1.09853786690885,0.452979703676538,GA,2023-05-16,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
