...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,X23H_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,X23H_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
559,NA,NA,ID,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,NA,NA,ID,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,NA,NA,ID,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,NA,NA,ID,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,NA,NA,ID,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,NA,NA,ID,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,ID,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,NA,NA,ID,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,NA,NA,ID,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,NA,ID,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,NA,NA,ID,2023-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,NA,NA,ID,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,NA,NA,ID,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,NA,NA,ID,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,NA,NA,ID,2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,NA,NA,ID,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,NA,NA,ID,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,NA,NA,ID,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,NA,NA,ID,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,NA,NA,ID,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,NA,NA,ID,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,0.604047608171379,0.4229622358990035,ID,2023-12-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
581,0.930384105208849,0.653335846068015,ID,2023-12-09,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
582,NA,NA,ID,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,NA,NA,ID,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,NA,NA,ID,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,NA,NA,ID,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,NA,NA,ID,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,NA,NA,ID,2023-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,NA,NA,ID,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,3.30811641218089,0.417009934453368,IL,2023-11-05,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
590,7.01985377031058,0.3270189707117905,IL,2023-11-06,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
591,1.7574001362096,0.337701633516125,IL,2023-11-07,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
592,3.55104647099257,0.3845407203385115,IL,2023-11-08,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
593,2.83687834174857,0.424269128801078,IL,2023-11-09,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
594,2.19742698015436,0.373617637063926,IL,2023-11-10,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
595,2.67216211907858,0.380527654948216,IL,2023-11-11,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
596,1.44051728264498,0.289410646635707,IL,2023-11-12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0
597,4.50945196270002,0.2988640533894855,IL,2023-11-13,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
598,4.60629630989065,0.382107114168986,IL,2023-11-14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
599,3.1810325085038,0.3817975823741815,IL,2023-11-15,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
600,3.10834524794991,0.3286266791811415,IL,2023-11-16,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
601,3.27997752382812,0.3580467263022845,IL,2023-11-17,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
602,2.17851525449652,0.401157743137724,IL,2023-11-18,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
603,2.09032140329116,0.3692089368621215,IL,2023-11-19,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
604,2.9229381452442,0.39434223789274653,IL,2023-11-20,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
605,3.36434966687133,0.4372532210229985,IL,2023-11-21,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0
606,2.32885527384414,0.3696392991797885,IL,2023-11-22,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
607,1.75236054824856,0.4117730662430005,IL,2023-11-23,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0
608,2.9638923070783,0.347400512295564,IL,2023-11-24,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
609,4.01446853877584,0.38416999043638,IL,2023-11-25,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
610,3.11981710566644,0.3423744845044115,IL,2023-11-26,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
611,3.5263696033719,0.355329055236114,IL,2023-11-27,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
612,6.53468639415046,0.343913586369793,IL,2023-11-28,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
613,2.74541946708797,0.382006262117893,IL,2023-11-29,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
614,4.11722182617329,0.3646693290499215,IL,2023-11-30,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
615,3.89031801927118,0.36412323314296,IL,2023-12-01,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
616,9.98249804610039,0.363477511407345,IL,2023-12-02,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
617,4.72682577968967,0.3846723592457195,IL,2023-12-03,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0
618,12.0330077362882,0.3939603320574005,IL,2023-12-04,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
619,9.08669695896144,0.389178536251329,IL,2023-12-05,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
620,5.29780054508147,0.42442766810706,IL,2023-12-06,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
621,7.06284268318808,0.416268390124196,IL,2023-12-07,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
622,7.64189578083776,0.4083719360482185,IL,2023-12-08,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0
623,2.93075076829672,0.3730713952411375,IL,2023-12-09,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0
624,8.41483428705285,0.52607962233535,IL,2023-12-10,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
625,13.5833083069481,0.4861756655630955,IL,2023-12-11,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
626,7.77013207197774,0.4839637256539195,IL,2023-12-12,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
627,8.30270436449345,0.4243760485911875,IL,2023-12-13,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0
628,4.31732790892202,0.3760985832887615,IL,2023-12-14,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
629,11.2983210235866,0.4744532394515605,IL,2023-12-15,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
630,13.2439908302247,0.467239056391953,IL,2023-12-16,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
631,1.11356933516533,0.54374501836371,IN,2023-11-05,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0
632,0.872132662714903,0.612497957467775,IN,2023-11-06,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
633,1.13295175186239,0.3716334107260335,IN,2023-11-07,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
634,0.91088253650179,0.389133481409188,IN,2023-11-08,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
635,1.04995545107896,0.325104596220176,IN,2023-11-09,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
636,NA,NA,IN,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,NA,NA,IN,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,0.74390440746255,0.380618626079867,IN,2023-11-12,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
639,1.97984247082134,0.4260962138881855,IN,2023-11-13,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0
640,1.10929029141726,0.4511585456135435,IN,2023-11-14,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
641,0.230336880169717,0.162349677869421,IN,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
642,0.755282093360639,0.536611514450545,IN,2023-11-16,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
643,0.233719240610753,0.16715624907176,IN,2023-11-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
644,NA,NA,IN,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,0.715112177400311,0.51392871103901006,IN,2023-11-19,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
646,0.850232844508581,0.59838021232237,IN,2023-11-20,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
647,NA,NA,IN,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,0.745162334685972,0.521141614927725,IN,2023-11-22,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
649,0.644957740433576,0.3599832426955615,IN,2023-11-23,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
650,1.24433926700234,0.4692425242021145,IN,2023-11-24,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1
651,NA,NA,IN,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,0.785896635047805,0.55397370515717,IN,2023-11-26,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
653,1.09416623905219,0.3901236714553125,IN,2023-11-27,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
654,1.06183323325044,0.3345844674891725,IN,2023-11-28,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
655,2.00360774476469,0.3656508107799705,IN,2023-11-29,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
656,0.798760739855002,0.354052057645061,IN,2023-11-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
657,1.23795057155108,0.395962462977053,IN,2023-12-01,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
658,NA,NA,IN,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,0.824128074275872,0.578631617568975,IN,2023-12-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
660,4.15089185321143,0.4819642858976825,IN,2023-12-04,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0
661,2.23920392036469,0.4663248774201185,IN,2023-12-05,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0
662,1.43376667106774,0.537534105310835,IN,2023-12-06,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1
663,NA,NA,IN,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,NA,NA,IN,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,NA,NA,IN,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,NA,NA,IN,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,0.680480230473308,0.335019477434445,IN,2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
668,1.48965019831341,0.682981092504075,IN,2023-12-12,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0
669,1.35667713439838,0.4261514413656455,IN,2023-12-13,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
670,2.67111788304482,0.4719497804980725,IN,2023-12-14,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0
671,1.85237994111216,0.3471801244760415,IN,2023-12-15,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0
672,1.54234087906848,0.689528220495055,IN,2023-12-16,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
673,NA,NA,KS,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,2.00352882829348,0.4289012286403885,KS,2023-11-06,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
675,1.17397189703759,0.341460391666955,KS,2023-11-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
676,1.89658257003791,0.57266005819173,KS,2023-11-08,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
677,0.804619125479627,0.56648427789775,KS,2023-11-09,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
678,NA,NA,KS,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,NA,NA,KS,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,NA,NA,KS,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,0.712785682900818,0.501656279975915,KS,2023-11-13,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
682,NA,NA,KS,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,0.5635540836119,0.3340239846559875,KS,2023-11-15,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
684,NA,NA,KS,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,NA,NA,KS,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,0.762655831182571,0.543299515906485,KS,2023-11-18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
687,NA,NA,KS,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688,NA,NA,KS,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,NA,NA,KS,2023-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,NA,NA,KS,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,NA,NA,KS,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,NA,NA,KS,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,NA,NA,KS,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,NA,NA,KS,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,1.44188290795618,0.4973986280437325,KS,2023-11-27,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0
696,1.95132916923293,0.423284154086395,KS,2023-11-28,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
697,0.801381193800725,0.396508062328556,KS,2023-11-29,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
698,NA,NA,KS,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,1.25107376298292,0.49433319371831,KS,2023-12-01,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
700,NA,NA,KS,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,NA,NA,KS,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,0.295010563375263,0.217239923801212,KS,2023-12-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
703,1.22420590072831,0.58230924140014,KS,2023-12-05,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
704,1.19915660151419,0.479146614476356,KS,2023-12-06,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
705,1.69401425585861,0.58574045900407,KS,2023-12-07,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
706,0.846408160437983,0.596658196521255,KS,2023-12-08,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
707,NA,NA,KS,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,NA,NA,KS,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,1.90276940584755,0.563873396917955,KS,2023-12-11,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0
710,0.913534197644788,0.4198824353962785,KS,2023-12-12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
711,1.56679064829118,0.71435445515097,KS,2023-12-13,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
712,NA,NA,KS,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,0.871048983994611,0.396632855483122,KS,2023-12-15,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
714,NA,NA,KS,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,NA,NA,KY,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,2.99783027285125,0.475082773757097,KY,2023-11-06,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
717,1.18272895995513,0.569245131199675,KY,2023-11-07,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
718,0.7281329340642,0.3916412765848385,KY,2023-11-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
719,0.742533174612006,0.380442621012819,KY,2023-11-09,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
720,NA,NA,KY,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,0.222085071294161,0.157596691948939,KY,2023-11-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
722,NA,NA,KY,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,1.50647489187818,0.570063900033355,KY,2023-11-13,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0
724,0.772083801372394,0.3995699217386785,KY,2023-11-14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
725,0.655092235271406,0.276799215727132,KY,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
726,1.19843389847833,0.575001830680095,KY,2023-11-16,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
727,NA,NA,KY,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,NA,NA,KY,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,NA,NA,KY,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730,NA,NA,KY,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,0.266337157225758,0.183515940843467,KY,2023-11-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
732,NA,NA,KY,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,NA,NA,KY,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,0.578206829338174,0.409877356017629,KY,2023-11-24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
735,NA,NA,KY,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,NA,NA,KY,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,1.10994888852203,0.3328439955419785,KY,2023-11-27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
738,0.848512539087189,0.4392075672038775,KY,2023-11-28,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
739,1.58914627207548,0.549382559133055,KY,2023-11-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
740,NA,NA,KY,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,NA,NA,KY,2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,NA,NA,KY,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,NA,NA,KY,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,1.82555764218609,0.450405142163532,KY,2023-12-04,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
745,2.32736798690365,0.512505469036875,KY,2023-12-05,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
746,0.863838597141893,0.608609380557915,KY,2023-12-06,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
747,NA,NA,KY,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,NA,NA,KY,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
