...1,es_score,brier_score,location,target_date,X22F_50_CI,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X22F_95_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
277,6.0712188109581e-5,3.965730663752095e-5,CT,2024-02-28,1,1,1,1,1,1,1,1,1,1
278,3.2339711869066e-4,3.457969124791605e-5,CT,2024-02-29,1,1,1,1,1,1,1,1,1,1
279,NA,NA,CT,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,NA,NA,CT,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,NA,CT,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,2.17930309591866e-5,2.0014593318894e-5,CT,2024-03-04,1,1,1,1,1,1,1,1,1,1
283,1.34774552412323e-5,1.74633760633168e-5,CT,2024-03-05,1,1,1,1,1,1,1,1,1,1
284,NA,NA,CT,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,1.03661854213297e-5,1.3301266781814e-5,CT,2024-03-07,1,1,1,1,1,1,1,1,1,1
286,1.6645293609425e-5,1.16113394503107e-5,CT,2024-03-08,1,1,1,1,1,1,1,1,1,1
287,NA,NA,CT,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,CT,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,CT,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,NA,CT,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,6.73165657030664e-6,5.90216834756835e-6,CT,2024-03-13,1,1,1,1,1,1,1,1,1,1
292,NA,NA,CT,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,3.60624458597535e-6,4.50884867673513e-6,CT,2024-03-15,1,1,1,1,1,1,1,1,1,1
294,NA,NA,CT,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,DC,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,NA,DC,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,NA,DC,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,NA,DC,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,NA,NA,DC,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,NA,NA,DC,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,NA,DC,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,NA,NA,DC,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,0.0020772150144548,3.5794148884715e-4,DC,2024-02-12,1,1,1,1,1,1,1,1,1,1
304,3.4334276936031e-4,3.1195962237025e-4,DC,2024-02-13,1,1,1,1,1,1,1,1,1,1
305,NA,NA,DC,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,NA,NA,DC,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,NA,DC,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,NA,DC,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,NA,DC,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,NA,DC,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,NA,NA,DC,2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,NA,NA,DC,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,DC,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,1.0168195495732e-4,7.8787143576845e-5,DC,2024-02-23,1,1,1,1,1,1,1,1,1,1
315,NA,NA,DC,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,DC,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,DC,2024-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,NA,NA,DC,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,NA,NA,DC,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,NA,NA,DC,2024-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,NA,NA,DC,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,NA,NA,DC,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,NA,NA,DC,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,NA,DC,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,DC,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,NA,NA,DC,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,NA,NA,DC,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,DC,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,NA,DC,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,NA,DC,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,NA,NA,DC,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,NA,DC,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,DC,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,DC,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,2.92742207460336e-6,4.50884867673513e-6,DC,2024-03-15,1,1,1,1,1,1,1,1,1,1
336,NA,NA,DC,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,0.0117326883287667,0.001070581881448355,DE,2024-02-04,1,1,1,1,1,1,1,1,1,1
338,0.00113822978837708,9.341337825297e-4,DE,2024-02-05,1,1,1,1,1,1,1,1,1,1
339,0.0492333066702589,8.1489876848421e-4,DE,2024-02-06,1,1,1,1,1,1,1,1,1,1
340,0.0214976559813929,7.1074478946562e-4,DE,2024-02-07,1,1,1,1,1,1,1,1,1,1
341,0.0183505560057646,6.19795860686765e-4,DE,2024-02-08,1,1,1,1,1,1,1,1,1,1
342,0.00588080485365579,5.4040287724547e-4,DE,2024-02-09,1,1,1,1,1,1,1,1,1,1
343,1.30850883181452,0.4791557193226195,DE,2024-02-10,1,1,0,1,0,1,1,0,1,0
344,5.1528285483407e-4,4.1066852420464e-4,DE,2024-02-11,1,1,1,1,1,1,1,1,1,1
345,NA,NA,DE,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,0.00960325554166511,3.1195962237025e-4,DE,2024-02-13,1,1,1,1,1,1,1,1,1,1
347,1.25850782617921,0.2421935851960485,DE,2024-02-14,1,1,0,1,0,1,1,0,1,0
348,2.57447609081325,0.3235213798683565,DE,2024-02-15,1,1,0,1,0,1,1,0,1,0
349,NA,NA,DE,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,0.00633793649520056,1.7990168572069e-4,DE,2024-02-17,1,1,1,1,1,1,1,1,1,1
351,8.0757726605745e-4,1.5676463835404e-4,DE,2024-02-18,1,1,1,1,1,1,1,1,1,1
352,1.8326793560139e-4,1.3660410998338e-4,DE,2024-02-19,1,1,1,1,1,1,1,1,1,1
353,0.0014501592286783,1.19038496892075e-4,DE,2024-02-20,1,1,1,1,1,1,1,1,1,1
354,6.156195181045e-4,1.0373471095147e-4,DE,2024-02-21,1,1,1,1,1,1,1,1,1,1
355,9.6287387087992e-4,9.040210577978e-5,DE,2024-02-22,1,1,1,1,1,1,1,1,1,1
356,5.2521191571406e-4,7.8787143576845e-5,DE,2024-02-23,1,1,1,1,1,1,1,1,1,1
357,1.306167644151e-4,6.866871628166e-5,DE,2024-02-24,1,1,1,1,1,1,1,1,1,1
358,3.0845412067898e-4,5.985404397736e-5,DE,2024-02-25,1,1,1,1,1,1,1,1,1,1
359,2.2798536861247e-4,5.2175081908845e-5,DE,2024-02-26,1,1,1,1,1,1,1,1,1,1
360,8.4095495355931e-4,4.54853751229003e-5,DE,2024-02-27,1,1,1,1,1,1,1,1,1,1
361,0.00192497754060453,3.965730663752095e-5,DE,2024-02-28,1,1,1,1,1,1,1,1,1,1
362,5.51119024140567e-5,3.457969124791605e-5,DE,2024-02-29,1,1,1,1,1,1,1,1,1,1
363,5.02894341749566e-5,3.015567263396195e-5,DE,2024-03-01,1,1,1,1,1,1,1,1,1,1
364,3.05045864804074e-5,2.630088640088775e-5,DE,2024-03-02,1,1,1,1,1,1,1,1,1,1
365,3.16925258699282e-5,2.29418561129837e-5,DE,2024-03-03,1,1,1,1,1,1,1,1,1,1
366,NA,NA,DE,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,1.9639183751668e-4,1.74633760633168e-5,DE,2024-03-05,1,1,1,1,1,1,1,1,1,1
368,1.41845620195364e-5,1.523968347761145e-5,DE,2024-03-06,1,1,1,1,1,1,1,1,1,1
369,3.1533371851167e-4,1.3301266781814e-5,DE,2024-03-07,1,1,1,1,1,1,1,1,1,1
370,NA,NA,DE,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,NA,DE,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,DE,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,NA,DE,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,NA,DE,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,DE,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,NA,NA,DE,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,NA,DE,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,DE,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,NA,NA,FL,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,0.888237365540721,0.118412551406902,FL,2024-02-05,1,1,0,1,0,1,1,0,1,0
381,4.41697454029166,0.1444424643356725,FL,2024-02-06,1,1,0,0,0,1,1,0,0,0
382,1.30428643434288,0.0772794194251185,FL,2024-02-07,1,1,0,0,1,1,1,0,0,0
383,0.461312743497875,0.0371987934237833,FL,2024-02-08,1,1,1,1,1,1,1,0,1,0
384,0.200300885806517,5.4040287724547e-4,FL,2024-02-09,1,1,1,1,1,1,1,1,1,1
385,0.0147139712762266,4.7111745224877e-4,FL,2024-02-10,1,1,1,1,1,1,1,1,1,1
386,NA,NA,FL,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,1.05261984916477,0.1207180144038775,FL,2024-02-12,1,1,0,1,0,1,1,0,1,0
388,1.05951145345331,0.0547134809582825,FL,2024-02-13,0,1,1,1,1,0,1,0,1,1
389,0.0653445251487882,2.7186757658364e-4,FL,2024-02-14,1,1,1,1,1,1,1,1,1,1
390,0.108251199789529,2.3691674106456e-4,FL,2024-02-15,1,1,1,1,1,1,1,1,1,1
391,0.0253548571695242,2.0645228240542e-4,FL,2024-02-16,1,1,1,1,1,1,1,1,1,1
392,8.3085320237739e-4,1.7990168572069e-4,FL,2024-02-17,1,1,1,1,1,1,1,1,1,1
393,NA,NA,FL,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,0.919164279791509,0.048995000114147,FL,2024-02-19,1,1,0,1,0,1,1,1,1,1
395,1.08602285334036,0.047057144204805,FL,2024-02-20,1,1,0,0,1,1,1,0,0,1
396,0.0214919074595607,1.0373471095147e-4,FL,2024-02-21,1,1,1,1,1,1,1,1,1,1
397,4.60189997850964,0.1966824188954855,FL,2024-02-22,1,1,0,0,0,1,1,0,0,0
398,0.00362198590214868,7.8787143576845e-5,FL,2024-02-23,1,1,1,1,1,1,1,1,1,1
399,2.6473236564941e-4,6.866871628166e-5,FL,2024-02-24,1,1,1,1,1,1,1,1,1,1
400,1.39771708643722,0.985015517488065,FL,2024-02-25,1,1,0,1,0,1,1,0,1,0
401,1.28927610715913,0.099082613883679,FL,2024-02-26,1,1,0,0,1,1,1,0,0,1
402,4.71570214997797,0.3956090708306475,FL,2024-02-27,1,1,0,0,0,1,1,0,0,0
403,3.7701425196345e-4,3.965730663752095e-5,FL,2024-02-28,1,1,1,1,1,1,1,1,1,1
404,0.00249883261134214,3.457969124791605e-5,FL,2024-02-29,1,1,1,1,1,1,1,1,1,1
405,2.6747420650788e-4,3.015567263396195e-5,FL,2024-03-01,1,1,1,1,1,1,1,1,1,1
406,NA,NA,FL,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,NA,NA,FL,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,4.5289871448897e-4,2.0014593318894e-5,FL,2024-03-04,1,1,1,1,1,1,1,1,1,1
409,1.38639961897678,0.3306655650687975,FL,2024-03-05,1,1,0,1,0,1,1,0,1,0
410,8.49518814337348e-5,1.523968347761145e-5,FL,2024-03-06,1,1,1,1,1,1,1,1,1,1
411,8.99156981297288e-5,1.3301266781814e-5,FL,2024-03-07,1,1,1,1,1,1,1,1,1,1
412,1.2077383801209e-4,1.16113394503107e-5,FL,2024-03-08,1,1,1,1,1,1,1,1,1,1
413,NA,NA,FL,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,NA,NA,FL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,8.60973215112432e-5,7.7323648573979e-6,FL,2024-03-11,1,1,1,1,1,1,1,1,1,1
416,5.19016378157638e-6,6.7548998783359e-6,FL,2024-03-12,1,1,1,1,1,1,1,1,1,1
417,7.17289117433111e-5,5.90216834756835e-6,FL,2024-03-13,1,1,1,1,1,1,1,1,1,1
418,2.42156942756328,0.398483200330086,FL,2024-03-14,1,1,0,0,0,1,1,0,0,0
419,1.92757308268019e-5,4.50884867673513e-6,FL,2024-03-15,1,1,1,1,1,1,1,1,1,1
420,NA,NA,FL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,0.0310657910293951,0.001070581881448355,GA,2024-02-04,1,1,1,1,1,1,1,0,1,0
422,0.784827025509993,0.0949168678820275,GA,2024-02-05,1,1,1,1,0,1,1,1,0,0
423,0.409414423880907,8.1489876848421e-4,GA,2024-02-06,1,1,1,1,1,1,1,1,1,1
424,0.883436648211273,0.0409880867032717,GA,2024-02-07,1,1,1,0,1,1,1,0,0,1
425,0.0361548540177587,6.19795860686765e-4,GA,2024-02-08,1,1,1,1,1,1,1,1,1,1
426,0.0108571907983959,5.4040287724547e-4,GA,2024-02-09,1,1,1,1,1,1,1,1,1,1
427,5.9309288525905e-4,4.7111745224877e-4,GA,2024-02-10,1,1,1,1,1,1,1,1,1,1
428,0.012063283045803,4.1066852420464e-4,GA,2024-02-11,1,1,1,1,1,1,1,1,1,1
429,0.0572961711942744,3.5794148884715e-4,GA,2024-02-12,1,1,1,1,1,1,1,1,1,1
430,1.8631353872854,0.1298327975268895,GA,2024-02-13,1,1,0,0,0,1,1,0,0,0
431,2.03272041561492,0.177231540067246,GA,2024-02-14,1,1,0,0,0,1,1,0,0,0
432,0.0845480109297224,2.3691674106456e-4,GA,2024-02-15,1,1,1,1,1,1,1,0,1,0
433,1.37518249841804,0.97208212025587,GA,2024-02-16,1,1,0,1,0,1,1,0,1,0
434,2.6004559024159e-4,1.7990168572069e-4,GA,2024-02-17,1,1,1,1,1,1,1,1,1,1
435,0.00346522042446451,1.5676463835404e-4,GA,2024-02-18,1,1,1,1,1,1,1,0,0,1
436,2.06877642316046,0.1402728990821225,GA,2024-02-19,1,1,0,0,0,1,1,0,0,0
437,1.26671699727493,0.1097902552433965,GA,2024-02-20,0,1,0,1,1,0,1,0,1,1
438,0.0278042193774751,1.0373471095147e-4,GA,2024-02-21,1,1,1,1,1,1,1,1,1,1
439,0.00932531917170071,9.040210577978e-5,GA,2024-02-22,1,1,1,1,1,1,1,1,1,1
440,0.0010135376616897,7.8787143576845e-5,GA,2024-02-23,1,1,1,1,1,1,1,1,1,1
441,8.038927808063e-4,6.866871628166e-5,GA,2024-02-24,1,1,1,1,1,1,1,1,1,1
442,3.1036330904579e-4,5.985404397736e-5,GA,2024-02-25,1,1,1,1,1,1,1,1,1,1
443,1.29403616556287,0.1643798064713845,GA,2024-02-26,1,1,0,1,0,1,1,0,1,0
444,9.8329279656365e-4,4.54853751229003e-5,GA,2024-02-27,1,1,1,1,1,1,1,1,1,1
445,5.42775164151365e-5,3.965730663752095e-5,GA,2024-02-28,1,1,1,1,1,1,1,1,1,1
446,1.8437102219438e-4,3.457969124791605e-5,GA,2024-02-29,1,1,1,1,1,1,1,1,1,1
447,0.00116073012900333,3.015567263396195e-5,GA,2024-03-01,1,1,1,1,1,1,1,1,1,1
448,0.00155976471500836,2.630088640088775e-5,GA,2024-03-02,1,1,1,1,1,1,1,1,1,1
449,1.38688488937246,0.3311587230554315,GA,2024-03-03,1,1,0,0,1,1,1,0,0,1
450,1.35294046209634,0.1982933122563165,GA,2024-03-04,1,1,0,1,0,1,1,0,1,0
451,7.67493698782505e-5,1.74633760633168e-5,GA,2024-03-05,1,1,1,1,1,1,1,1,1,1
452,1.21480944954714e-5,1.523968347761145e-5,GA,2024-03-06,1,1,1,1,1,1,1,1,1,1
453,0.00157855714258316,1.3301266781814e-5,GA,2024-03-07,1,1,1,1,1,1,1,1,1,1
454,5.7378887020687e-4,1.16113394503107e-5,GA,2024-03-08,1,1,1,1,1,1,1,1,1,1
455,1.38999825224515,0.3313071889042205,GA,2024-03-09,1,1,0,1,0,1,1,0,1,0
456,6.21297198089045e-5,8.8529741587009e-6,GA,2024-03-10,1,1,1,1,1,1,1,1,1,1
457,3.7854254514093e-4,7.7323648573979e-6,GA,2024-03-11,1,1,1,1,1,1,1,1,1,1
458,1.00267741663532e-5,6.7548998783359e-6,GA,2024-03-12,1,1,1,1,1,1,1,1,1,1
459,1.401043875742e-4,5.90216834756835e-6,GA,2024-03-13,1,1,1,1,1,1,1,1,1,1
460,7.32562626793712e-6,5.15813831484105e-6,GA,2024-03-14,1,1,1,1,1,1,1,1,1,1
461,1.93747257663281e-6,4.50884867673513e-6,GA,2024-03-15,1,1,1,1,1,1,1,1,1,1
462,NA,NA,GA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,NA,NA,HI,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,NA,NA,HI,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,NA,NA,HI,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,NA,NA,HI,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,NA,NA,HI,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,NA,NA,HI,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,NA,NA,HI,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,NA,NA,HI,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,NA,NA,HI,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,NA,NA,HI,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,NA,NA,HI,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,NA,NA,HI,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,NA,NA,HI,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,NA,NA,HI,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,NA,NA,HI,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,NA,NA,HI,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,NA,NA,HI,2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,NA,NA,HI,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,NA,NA,HI,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,NA,NA,HI,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,NA,NA,HI,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,NA,NA,HI,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,2.5458672583359e-4,5.2175081908845e-5,HI,2024-02-26,1,1,1,1,1,1,1,1,1,1
486,NA,NA,HI,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,NA,NA,HI,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,NA,NA,HI,2024-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,NA,NA,HI,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,NA,NA,HI,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,NA,NA,HI,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,NA,NA,HI,2024-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,NA,NA,HI,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,NA,NA,HI,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,NA,NA,HI,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,NA,HI,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,NA,NA,HI,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,NA,NA,HI,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,NA,NA,HI,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,NA,NA,HI,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,NA,NA,HI,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,NA,NA,HI,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,NA,NA,HI,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,NA,NA,HI,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,0.00158014324308239,0.001070581881448355,IA,2024-02-04,1,1,1,1,1,1,1,1,1,1
506,0.746278650732792,0.0863729829638915,IA,2024-02-05,1,1,1,1,0,1,1,0,1,0
507,1.01580112905177,0.1581188614099505,IA,2024-02-06,1,1,0,1,0,1,1,0,1,0
508,0.0195444608724964,7.1074478946562e-4,IA,2024-02-07,1,1,1,1,1,1,1,1,1,1
509,0.0248904647643069,6.19795860686765e-4,IA,2024-02-08,1,1,1,1,1,1,1,1,1,1
510,0.0333842371627928,5.4040287724547e-4,IA,2024-02-09,1,1,1,1,1,1,1,1,1,1
511,0.0143807014786187,4.7111745224877e-4,IA,2024-02-10,1,1,1,1,1,1,1,1,1,1
512,1.00282577159211,0.10710166079191,IA,2024-02-11,1,1,0,1,0,1,1,0,1,0
513,0.0490750083392592,3.5794148884715e-4,IA,2024-02-12,1,1,1,1,1,1,1,1,1,1
514,0.0356093662282318,3.1195962237025e-4,IA,2024-02-13,1,1,1,1,1,1,1,1,1,1
515,0.0172581077605109,2.7186757658364e-4,IA,2024-02-14,1,1,1,1,1,1,1,1,1,1
516,2.15099309285006,0.2439939015324025,IA,2024-02-15,1,1,0,0,0,1,1,0,0,1
517,0.00127483390486272,2.0645228240542e-4,IA,2024-02-16,1,1,1,1,1,1,1,1,1,1
518,1.34549760491855,0.487061439481669,IA,2024-02-17,1,1,0,1,0,1,1,0,1,0
519,0.00170425852754187,1.5676463835404e-4,IA,2024-02-18,1,1,1,1,1,1,1,1,1,1
520,1.18001351646693,0.1222825941203925,IA,2024-02-19,1,1,0,1,0,1,1,0,1,0
521,0.00513566792411356,1.19038496892075e-4,IA,2024-02-20,1,1,1,1,1,1,1,1,1,1
522,0.00694339506986634,1.0373471095147e-4,IA,2024-02-21,1,1,1,1,1,1,1,1,1,1
523,1.29163281749113,0.1235204984191315,IA,2024-02-22,1,1,0,0,1,1,1,0,0,1
524,0.00388518207482805,7.8787143576845e-5,IA,2024-02-23,1,1,1,1,1,1,1,1,1,1
525,8.82469261260944e-5,6.866871628166e-5,IA,2024-02-24,1,1,1,1,1,1,1,1,1,1
526,1.37567659635394,0.330308319629871,IA,2024-02-25,0,1,0,1,1,0,1,0,1,1
527,0.00160971971047948,5.2175081908845e-5,IA,2024-02-26,1,1,1,1,1,1,1,1,1,1
528,2.6782353743776,0.2467724507906905,IA,2024-02-27,1,1,0,1,0,1,1,0,1,0
529,1.36842190768804,0.3293018038669035,IA,2024-02-28,1,1,0,1,0,1,1,0,1,0
530,1.35781480686585,0.198436229295063,IA,2024-02-29,1,1,0,0,1,1,1,0,0,1
531,1.4836514466884e-4,3.015567263396195e-5,IA,2024-03-01,1,1,1,1,1,1,1,1,1,1
532,4.68670373684286e-5,2.630088640088775e-5,IA,2024-03-02,1,1,1,1,1,1,1,1,1,1
533,6.2467240057052e-4,2.29418561129837e-5,IA,2024-03-03,1,1,1,1,1,1,1,1,1,1
534,1.34232814956505,0.1104439914319845,IA,2024-03-04,1,1,0,0,1,1,1,0,0,1
535,8.8186284866328e-4,1.74633760633168e-5,IA,2024-03-05,1,1,1,1,1,1,1,1,1,1
536,9.4535934250029e-4,1.523968347761145e-5,IA,2024-03-06,1,1,1,1,1,1,1,0,0,1
537,2.9004019049131e-4,1.3301266781814e-5,IA,2024-03-07,1,1,1,1,1,1,1,1,1,1
538,7.95575406126927e-5,1.16113394503107e-5,IA,2024-03-08,1,1,1,1,1,1,1,1,1,1
539,3.99373909184524e-5,1.01378714274155e-5,IA,2024-03-09,1,1,1,1,1,1,1,1,1,1
540,4.15778786421479e-5,8.8529741587009e-6,IA,2024-03-10,1,1,1,1,1,1,1,1,1,1
541,1.39905452234519,0.332209208625901,IA,2024-03-11,0,1,0,1,1,0,1,0,1,1
542,1.0469422983655e-4,6.7548998783359e-6,IA,2024-03-12,1,1,1,1,1,1,1,1,1,1
543,1.3324173109294e-4,5.90216834756835e-6,IA,2024-03-13,1,1,1,1,1,1,1,1,1,1
544,5.75019233258253e-5,5.15813831484105e-6,IA,2024-03-14,1,1,1,1,1,1,1,1,1,1
545,NA,NA,IA,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,4.7093311689346004e-06,3.942140977170425e-6,IA,2024-03-16,1,1,1,1,1,1,1,1,1,1
547,NA,NA,ID,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,NA,NA,ID,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,NA,NA,ID,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,ID,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,NA,NA,ID,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,NA,NA,ID,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
