...1,es_score,brier_score,location,target_date,X22D_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22D_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
216,1.13085354374598,0.258156265835138,CO,2023-04-28,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
217,0.0476597182265598,0.03558940640845065,CO,2023-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,0.173994110781525,0.03806992915574285,CO,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,0.731546001954726,0.04072131450555905,CO,2023-05-01,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
220,0.493033070496354,0.1700179047596005,CO,2023-05-02,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
221,0.0639826560033903,0.0465745070930207,CO,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,0.415858753027383,0.04979581728953985,CO,2023-05-04,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
223,0.0725070828027846,0.0532269280169865,CO,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,NA,NA,CO,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,0.623750996133505,0.347363220967066,CO,2023-05-07,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
226,0.892191104245065,0.62835967416075,CO,2023-05-08,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
227,0.615223751944629,0.343127322745694,CO,2023-05-09,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
228,2.69243846028181,0.666657707182175,CO,2023-05-10,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0
229,0.330228477763191,0.0787919597638255,CO,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,NA,NA,CO,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,0.664382133406811,0.0894523771964795,CO,2023-05-13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
232,0.130626070023244,0.0952265476164145,CO,2023-05-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,0.951423738217745,0.1747323626204355,CO,2023-05-15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
234,0.495954484694392,0.31833582514679,CO,2023-05-16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
235,0.162779657850875,0.114422868214374,CO,2023-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,1.00164943948945,0.440560926615313,CO,2023-05-18,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
237,0.977589238703092,0.693111816830105,CO,2023-05-19,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
238,NA,NA,CO,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,0.199629212522449,0.1446188474778065,CO,2023-05-21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
240,1.58828083420346,0.471898866478229,CO,2023-05-22,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
241,0.610130721748935,0.1617488105891545,CO,2023-05-23,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
242,NA,NA,CO,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,0.691210285193192,0.493336335008514,CO,2023-05-26,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
245,NA,NA,CO,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,0.295032342263528,0.210384562116712,CO,2023-05-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
247,0.32068504493232,0.2210514381443235,CO,2023-05-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,0.33128821013618,0.232005360027282,CO,2023-05-30,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
249,0.85411846790439,0.2432315043628315,CO,2023-05-31,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
250,0.368041881172637,0.2547134181757025,CO,2023-06-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
251,NA,NA,CO,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0.0349303253949686,0.0238048753578882,CT,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
254,0.862966871521892,0.3965852839459785,CT,2023-04-24,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
255,0.612288288505475,0.261672798262709,CT,2023-04-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,1.15808613598402,0.81710039809532,CT,2023-04-26,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
257,NA,NA,CT,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,0.163514241170371,0.0332706223566502,CT,2023-04-28,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
259,NA,NA,CT,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,CT,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,NA,NA,CT,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,0.952484229198773,0.4152653754448475,CT,2023-05-02,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
263,1.50744694153466,0.529046665261215,CT,2023-05-03,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0
264,0.226243999925777,0.04979581728953985,CT,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,0.0740013408522144,0.0532269280169865,CT,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
266,0.0801745386118727,0.0568780135980415,CT,2023-05-06,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
267,NA,NA,CT,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,0.519087973974246,0.2517480159163315,CT,2023-05-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
269,1.84748181643338,0.4378990881928345,CT,2023-05-09,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
270,0.690161713785,0.34020208961625,CT,2023-05-10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
271,1.24677006722746,0.1884840396073075,CT,2023-05-11,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
272,0.867153974411448,0.4185419930601475,CT,2023-05-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,NA,NA,CT,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,CT,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,CT,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,0.151567687879455,0.107704497430403,CT,2023-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
277,2.22429978568184,0.65298605832093,CT,2023-05-17,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
278,1.47298758573327,0.44589649391047,CT,2023-05-18,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0
279,0.178524295425139,0.128848232603466,CT,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,1.75366831165025,0.5041903287568,CT,2023-05-20,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
281,0.544015756598124,0.3337479359615995,CT,2023-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,NA,NA,CT,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,NA,NA,CT,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1.26877588933529,0.295338446281178,CT,2023-05-24,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
285,NA,NA,CT,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,NA,CT,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,NA,CT,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,CT,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,CT,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,1.09318559157625,0.533780951758225,CT,2023-05-30,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
291,1.05932242182417,0.357889360774947,CT,2023-05-31,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
292,0.891729476668504,0.638895976666755,CT,2023-06-01,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
293,NA,NA,CT,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,0.670977315688667,0.37259440914892,CT,2023-06-03,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
295,0.80254003248193,0.384395557573447,DC,2023-04-23,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
296,1.90726496352668,0.52030003919009,DC,2023-04-24,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1
297,0.0366824652864433,0.02719797324279005,DC,2023-04-25,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
298,NA,NA,DC,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,NA,NA,DC,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,1.05353513750864,0.73335279682152,DC,2023-04-28,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
301,1.7795526826755,0.792625904894485,DC,2023-04-29,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
302,NA,NA,DC,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,NA,DC,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,NA,NA,DC,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,NA,NA,DC,2023-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,0.87111909667305,0.400320606214374,DC,2023-05-04,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
307,0.072570001164199,0.0532269280169865,DC,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,0.080772977221895,0.0568780135980415,DC,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
309,NA,NA,DC,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,1.48011032271164,0.676106974995525,DC,2023-05-08,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
311,1.46268657269978,0.434101804730011,DC,2023-05-09,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
312,0.10420891424328,0.073887426020635,DC,2023-05-10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
313,1.04144348422738,0.73694443882472,DC,2023-05-11,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
314,NA,NA,DC,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,NA,DC,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,0.137671172871676,0.0952265476164145,DC,2023-05-14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
317,0.139840420911783,0.101308024494615,DC,2023-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,NA,NA,DC,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,1.30088071159616,0.60982996862994,DC,2023-05-17,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
320,0.553639425546193,0.2623540145307255,DC,2023-05-18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
321,NA,NA,DC,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,NA,NA,DC,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,NA,NA,DC,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,NA,DC,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,DC,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,0.237762477131009,0.1708213624048475,DC,2023-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,0.247830320048006,0.1802277761920335,DC,2023-05-25,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
328,0.583915047730522,0.4011036589321695,DC,2023-05-26,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
329,NA,NA,DC,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,0.297999235037945,0.210384562116712,DC,2023-05-28,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
331,0.403084975004762,0.293646138418319,DC,2023-05-29,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
332,0.825649189799444,0.232005360027282,DC,2023-05-30,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
333,1.02644021851009,0.4934434744502605,DC,2023-05-31,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
334,1.76530570184545,0.638895976666755,DC,2023-06-01,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
335,0.483912683419292,0.325672677058992,DC,2023-06-02,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
336,NA,NA,DC,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,DE,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,0.874222906838723,0.3965852839459785,DE,2023-04-24,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
339,0.0366739234369629,0.02719797324279005,DE,2023-04-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340,NA,NA,DE,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,0.0430477273873893,0.0311047472639009,DE,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
342,NA,NA,DE,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,NA,DE,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,NA,DE,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,0.815679203945,0.2839128638329065,DE,2023-05-01,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
346,NA,NA,DE,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,0.204845154164398,0.0465745070930207,DE,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
348,NA,NA,DE,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,0.0754465398322122,0.0532269280169865,DE,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
350,0.0810746006909249,0.0568780135980415,DE,2023-05-06,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
351,NA,NA,DE,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,NA,DE,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,1.32013773527071,0.61676330392889,DE,2023-05-09,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0
354,0.101821495477205,0.073887426020635,DE,2023-05-10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
355,0.334068921096784,0.0787919597638255,DE,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
356,0.832044926693128,0.591772948253125,DE,2023-05-12,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
357,0.127050499733434,0.0894523771964795,DE,2023-05-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
358,NA,NA,DE,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,NA,NA,DE,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,NA,NA,DE,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,1.79464885074233,0.53977862624482,DE,2023-05-17,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
362,0.177722224204906,0.1214691282521255,DE,2023-05-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
363,NA,NA,DE,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,0.473972554964407,0.2500418181051095,DE,2023-05-20,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
365,NA,NA,DE,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,0.20888576354475,0.1530139428518765,DE,2023-05-22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
367,NA,NA,DE,2023-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,NA,NA,DE,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,NA,DE,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,NA,NA,DE,2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,NA,DE,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,DE,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,NA,DE,2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,0.668593347562009,0.476458477264214,DE,2023-05-30,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
375,0.760266449143188,0.3917949165494845,DE,2023-05-31,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
376,0.367988975443956,0.2547134181757025,DE,2023-06-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
377,NA,NA,DE,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,DE,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,1.90689211533555,0.32395516921424,FL,2023-04-23,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
380,3.983622545558,0.2400257887682665,FL,2023-04-24,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0
381,3.79563862767094,0.180067408843571,FL,2023-04-25,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
382,2.48489189838084,0.2090778558760735,FL,2023-04-26,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
383,2.74971139694509,0.221997988995756,FL,2023-04-27,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
384,3.56120520451186,0.116789896979959,FL,2023-04-28,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1
385,3.66274797263651,0.345101596223398,FL,2023-04-29,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
386,3.16170858177032,0.341786238847183,FL,2023-04-30,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
387,3.51423938474759,0.2458067232413295,FL,2023-05-01,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
388,2.48292975461238,0.220522793332654,FL,2023-05-02,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0
389,2.32949067202292,0.154430953470957,FL,2023-05-03,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
390,4.15026025717849,0.1286608661642195,FL,2023-05-04,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0
391,5.66347920688841,0.0961808561119785,FL,2023-05-05,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
392,2.73273842081066,0.316699472081106,FL,2023-05-06,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
393,3.58555441292564,0.138403424011107,FL,2023-05-07,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0
394,3.69015555142373,0.2223319963699625,FL,2023-05-08,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
395,2.83730719940079,0.2799546597372985,FL,2023-05-09,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
396,5.4937411364409,0.3068296217114415,FL,2023-05-10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
397,5.2930292851257,0.3042006707121825,FL,2023-05-11,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
398,0.92703179977286,0.262783422245062,FL,2023-05-12,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
399,0.486520497760866,0.2514400498769375,FL,2023-05-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
400,1.17254961620423,0.2201958153000335,FL,2023-05-14,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
401,1.92293522651616,0.3392359020088685,FL,2023-05-15,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
402,2.39638137993982,0.220997657618346,FL,2023-05-16,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0
403,2.35994637215236,0.2860560465920475,FL,2023-05-17,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
404,4.36578552123835,0.2609455142772225,FL,2023-05-18,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
405,1.42862419930626,0.267915649217609,FL,2023-05-19,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
406,1.20615461807047,0.279343766080151,FL,2023-05-20,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
407,1.61276558093302,0.358427321605543,FL,2023-05-21,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
408,4.10398616853726,0.3162869197497505,FL,2023-05-22,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
409,2.67670916860216,0.315133410367613,FL,2023-05-23,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0
410,4.6405956339055,0.248233677714258,FL,2023-05-24,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
411,3.75555999733637,0.3429509866451185,FL,2023-05-25,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
412,2.37390776314251,0.3461736437706245,FL,2023-05-26,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
413,0.561380643555938,0.389155763040923,FL,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
414,1.74892826302799,0.399057209398964,FL,2023-05-28,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
415,0.610410940326878,0.2694479049936535,FL,2023-05-29,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
416,4.30699159498874,0.3632523455496975,FL,2023-05-30,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
417,7.31564366486839,0.3430576880464855,FL,2023-05-31,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
418,4.69800408277673,0.4620756630661155,FL,2023-06-01,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1
419,2.46906208849827,0.324107277412281,FL,2023-06-02,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
420,1.71949294159431,0.391013836490177,FL,2023-06-03,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
421,1.36676195520419,0.4057955099444235,GA,2023-04-23,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1
422,0.862731430961037,0.185597088843009,GA,2023-04-24,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
423,0.679203832492178,0.2323104118516425,GA,2023-04-25,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
424,1.86426675419491,0.321799213426649,GA,2023-04-26,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0
425,0.504214367417627,0.2022375130542865,GA,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
426,1.02898376379663,0.3769553985817335,GA,2023-04-28,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
427,0.97894301750296,0.419050598217263,GA,2023-04-29,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
428,0.829993010282614,0.2842385692339775,GA,2023-04-30,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
429,1.75936260003799,0.3266929267683435,GA,2023-05-01,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0
430,2.18186985559009,0.35357629518758,GA,2023-05-02,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0
431,1.4915520890986,0.3290218697762525,GA,2023-05-03,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0
432,1.57847738940846,0.3937691362299445,GA,2023-05-04,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0
433,0.526170129840607,0.2055523653843315,GA,2023-05-05,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
434,0.080376813577228,0.0568780135980415,GA,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
435,0.585490138200115,0.1766032913496465,GA,2023-05-07,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
436,0.88001775241027,0.2951092479836965,GA,2023-05-08,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
437,2.28997188792461,0.3421463706272235,GA,2023-05-09,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0
